date,flight number,belt number,scheduled arrival time,actual arrival time,offloaded bags,expected bags,first bag on belt,last bag on belt
01-11-25,BP312,Belt 1,8:50:00,8:42:00,183,182,8:57:00,9:12:00
01-11-25,ET34,Belt 1,11:45:00,11:36:00,18,15,11:51:00,12:10:00
01-11-25,ET35,Belt 2,13:10:00,12:56:00,57,66,13:03:00,13:15:00
01-11-25,SA62,Belt 1,12:40:00,12:26:00,66,72,12:34:00,12:48:00
01-11-25,TC212,Belt 3,12:20:00,12:19:00,-5,110,12:32:00,12:39:00
01-11-25,UR722,Belt 1,11:45:00,11:57:00,38,34,12:05:00,12:21:00
01-11-25,WB112,Belt 3,15:00:00,14:51:00,199,189,15:06:00,15:25:00
01-11-25,ET873,Belt 1,13:10:00,13:11:00,88,93,13:19:00,13:36:00
01-11-25,4Z166,Belt 1,9:40:00,9:30:00,24,22,9:42:00,9:49:00
01-11-25,4Z162,Belt 2,13:30:00,13:27:00,40,31,13:41:00,13:52:00
01-11-25,QR1455,Belt 3,7:50:00,7:40:00,286,293,7:51:00,8:10:00
01-11-25,QR1456,Belt 2,15:00:00,15:08:00,323,329,15:22:00,15:31:00
01-11-25,TK525,Belt 3,1:20:00,1:22:00,159,159,1:29:00,1:46:00
01-11-25,KQ704,Belt 3,17:20:00,17:29:00,165,162,17:43:00,17:54:00
01-11-25,KQ706,Belt 1,9:10:00,8:57:00,114,124,9:10:00,9:23:00
02-11-25,BP312,Belt 1,8:50:00,8:55:00,107,115,9:04:00,9:11:00
02-11-25,ET34,Belt 1,11:45:00,11:39:00,27,35,11:50:00,12:09:00
02-11-25,ET35,Belt 3,13:10:00,13:11:00,39,43,13:22:00,13:32:00
02-11-25,SA62,Belt 3,12:40:00,12:57:00,96,93,13:09:00,13:23:00
02-11-25,TC212,Belt 1,12:20:00,12:15:00,121,120,12:28:00,12:48:00
02-11-25,UR722,Belt 2,11:45:00,11:59:00,39,44,12:12:00,12:28:00
02-11-25,WB112,Belt 3,15:00:00,14:52:00,159,169,15:07:00,15:18:00
02-11-25,ET873,Belt 2,13:10:00,13:22:00,399,391,13:31:00,13:46:00
02-11-25,4Z166,Belt 1,9:40:00,9:36:00,62,62,9:43:00,9:52:00
02-11-25,4Z162,Belt 3,13:30:00,13:47:00,63,69,14:01:00,14:16:00
02-11-25,QR1455,Belt 1,7:50:00,8:08:00,398,395,8:19:00,8:24:00
02-11-25,QR1456,Belt 3,15:00:00,15:08:00,124,114,15:22:00,15:30:00
02-11-25,TK525,Belt 2,1:20:00,1:10:00,157,161,1:23:00,1:33:00
02-11-25,KQ704,Belt 3,17:20:00,17:35:00,162,166,17:47:00,17:58:00
02-11-25,KQ706,Belt 1,9:10:00,9:08:00,74,73,9:20:00,9:25:00
03-11-25,BP312,Belt 2,8:50:00,8:58:00,154,148,9:06:00,9:26:00
03-11-25,ET34,Belt 1,11:45:00,11:34:00,42,39,11:47:00,12:03:00
03-11-25,ET35,Belt 3,13:10:00,13:09:00,70,63,13:22:00,13:37:00
03-11-25,SA62,Belt 3,12:40:00,12:29:00,119,115,12:42:00,12:58:00
03-11-25,TC212,Belt 1,12:20:00,12:22:00,118,111,12:35:00,12:52:00
03-11-25,UR722,Belt 3,11:45:00,12:00:00,67,64,12:11:00,12:19:00
03-11-25,WB112,Belt 3,15:00:00,14:51:00,88,96,14:58:00,15:16:00
03-11-25,ET873,Belt 2,13:10:00,12:58:00,313,304,13:13:00,13:21:00
03-11-25,4Z166,Belt 1,9:40:00,9:40:00,44,38,9:47:00,10:01:00
03-11-25,4Z162,Belt 3,13:30:00,13:42:00,20,23,13:56:00,14:13:00
03-11-25,QR1455,Belt 1,7:50:00,8:03:00,155,150,8:11:00,8:27:00
03-11-25,QR1456,Belt 1,15:00:00,14:45:00,271,261,14:58:00,15:03:00
03-11-25,TK525,Belt 2,1:20:00,1:35:00,170,164,1:46:00,1:59:00
03-11-25,KQ704,Belt 3,17:20:00,17:29:00,136,137,17:42:00,17:54:00
03-11-25,KQ706,Belt 3,9:10:00,9:04:00,167,176,9:11:00,9:16:00
04-11-25,BP312,Belt 3,8:50:00,9:09:00,171,165,9:21:00,9:36:00
