date,shift,airline,flight number,aircraft type,route,loading supervisor id,scheduled arrival time,scheduled departure time,actual arrival time,actual departure time,conveyor belt on,conveyor belt off,h-loader on,h-loader off,cargo doors open,cargo doors closed,first trolley out,last trolley out,baggage at aircraft
01-11-25,Shift A,Air Botswana,BP312,E175,GBE-HRE via LUN,1,8:50:00,9:40:00,8:42:00,9:31:00,8:47:00,9:21:00,,,8:46:00,9:23:00,8:48:00,8:55:00,55
01-11-25,Shift A,Malawian Airlines,ET34,DH8,LLW-HRE via LUN,2,11:45:00,12:20:00,11:36:00,12:44:00,11:39:00,12:28:00,,,11:38:00,12:30:00,11:40:00,11:52:00,28
01-11-25,Shift A,Malawian Airlines,ET35,DH8,HRE-LLW via LUN,3,13:10:00,13:45:00,12:56:00,13:40:00,13:00:00,13:30:00,,,12:59:00,13:32:00,13:01:00,13:14:00,174
01-11-25,Shift A,South African Airways,SA62,A320,JNB-JNB via LUN,4,12:40:00,13:30:00,12:26:00,13:55:00,12:30:00,13:38:00,,,12:29:00,13:40:00,12:31:00,12:44:00,127
01-11-25,Shift A,Air Tanzania,TC212,A220,DAR-HRE via LUN,5,12:20:00,13:10:00,12:19:00,13:28:00,12:24:00,13:21:00,,,12:23:00,13:23:00,12:25:00,12:31:00,198
01-11-25,Shift A,Uganda Airlines,UR722,CRJ900,EBB-HRE via LUN,6,11:45:00,12:30:00,11:57:00,12:41:00,12:02:00,12:32:00,,,12:01:00,12:34:00,12:03:00,12:10:00,106
01-11-25,Shift A,RwandAir,WB112,B737,KGL-HRE via LUN,7,15:00:00,15:50:00,14:51:00,15:45:00,14:57:00,15:37:00,,,14:56:00,15:39:00,14:58:00,15:06:00,108
01-11-25,Shift A,Ethiopian Airways,ET873,B787,ADD-ADD via LUN,1,13:10:00,15:10:00,13:11:00,15:02:00,13:17:00,14:47:00,13:18:00,14:46:00,13:16:00,14:49:00,13:18:00,13:22:00,116
01-11-25,Shift A,Airlink,4Z166,E135,JNB-JNB via LUN,2,9:40:00,10:15:00,9:30:00,10:40:00,9:35:00,10:23:00,,,9:34:00,10:25:00,9:36:00,9:49:00,112
01-11-25,Shift A,Airlink,4Z162,E195,JNB-JNB via LUN,3,13:30:00,14:15:00,13:27:00,14:09:00,13:30:00,13:52:00,,,13:29:00,13:54:00,13:31:00,13:40:00,94
01-11-25,Shift A,Qatar Airways,QR1455,B787,DOH-HRE via LUN,4,7:50:00,9:40:00,7:40:00,9:44:00,7:43:00,9:31:00,7:44:00,9:30:00,7:42:00,9:33:00,7:44:00,7:54:00,136
01-11-25,Shift A,Qatar Airways,QR1456,B787,HRE-DOH via LUN,5,15:00:00,16:30:00,15:08:00,16:30:00,15:13:00,16:18:00,15:14:00,16:17:00,15:12:00,16:20:00,15:14:00,15:21:00,191
01-11-25,Shift A,Turkish Airlines,TK525,B737 Max,IST-IST via LUN,6,1:20:00,2:20:00,1:22:00,2:14:00,1:26:00,1:59:00,,,1:25:00,2:01:00,1:27:00,1:35:00,61
01-11-25,Shift A,Kenya Airways,KQ704,B737,NBO-HRE via LUN,7,17:20:00,18:10:00,17:29:00,18:17:00,17:33:00,18:00:00,,,17:32:00,18:02:00,17:34:00,17:44:00,34
01-11-25,Shift A,Kenya Airways,KQ706,E195,NBO-HRE via LUN,1,9:10:00,10:00:00,8:57:00,10:10:00,9:03:00,9:59:00,,,9:02:00,10:01:00,9:04:00,9:08:00,74
02-11-25,Shift A,Air Botswana,BP312,E175,GBE-HRE via LUN,1,8:50:00,9:40:00,8:55:00,9:43:00,9:01:00,9:30:00,,,9:00:00,9:32:00,9:02:00,9:15:00,137
02-11-25,Shift A,Malawian Airlines,ET34,DH8,LLW-HRE via LUN,2,11:45:00,12:20:00,11:39:00,12:26:00,11:43:00,12:16:00,,,11:42:00,12:18:00,11:44:00,11:57:00,157
02-11-25,Shift A,Malawian Airlines,ET35,DH8,HRE-LLW via LUN,3,13:10:00,13:45:00,13:11:00,14:02:00,13:17:00,13:50:00,,,13:16:00,13:52:00,13:18:00,13:24:00,55
02-11-25,Shift A,South African Airways,SA62,A320,JNB-JNB via LUN,4,12:40:00,13:30:00,12:57:00,13:51:00,13:00:00,13:44:00,,,12:59:00,13:46:00,13:01:00,13:08:00,59
02-11-25,Shift A,Air Tanzania,TC212,A220,DAR-HRE via LUN,5,12:20:00,13:10:00,12:15:00,13:27:00,12:18:00,13:14:00,,,12:17:00,13:16:00,12:19:00,12:31:00,172
02-11-25,Shift A,Uganda Airlines,UR722,CRJ900,EBB-HRE via LUN,6,11:45:00,12:30:00,11:59:00,12:53:00,12:04:00,12:38:00,,,12:03:00,12:40:00,12:05:00,12:09:00,194
02-11-25,Shift A,RwandAir,WB112,B737,KGL-HRE via LUN,7,15:00:00,15:50:00,14:52:00,16:14:00,14:57:00,15:57:00,,,14:56:00,15:59:00,14:58:00,15:07:00,48
02-11-25,Shift A,Ethiopian Airways,ET873,B777,ADD-ADD via LUN,1,13:10:00,15:10:00,13:22:00,15:10:00,13:28:00,15:03:00,13:29:00,15:02:00,13:27:00,15:05:00,13:29:00,13:36:00,148
02-11-25,Shift A,Airlink,4Z166,E135,JNB-JNB via LUN,2,9:40:00,10:15:00,9:36:00,10:37:00,9:39:00,10:20:00,,,9:38:00,10:22:00,9:40:00,9:50:00,183
